Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Beta-carotene (µg),Folate (µg),Lutein+Zeaxanthin (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2020/1/2,02:24 PM,Lunch,"Spinach, Raw","1.00 cup, cut pieces",6.9,0,0,27.42,0.02,0.06,0.22,0.02,0.06,0,1687.86,58.2,3659.54,2813.21,8.43,0,0.59,144.88,29.7,0.04,0.81,23.7,0.27,14.7,167.41,0.3,23.7,0.16,1.09,0.66,0.03,0.13,0.43,0.12,0,0,0.05,0.02,0,0.04,0,0.01,0.02,0.04,0.07,0.05,0.02,0.04,0.86,0.04,0.01,0.03,0.05,Vegetables and Vegetable Products
2020/1/2,02:24 PM,Lunch,"Vega, Essentials Shake Mix, Chocolate",1.00 Scoop,140,,,,0.45,0.6,5,2.5,0.5,0.48,,,,1500.12,27,100.08,5.03,20.02,200.16,,3.6,39.96,,299.88,340,,219.96,,6,4,,1,2.01,4,0,1,2.5,0.5,0,,,,,,,,,,20,,,,,Supplements
2020/1/2,04:34 PM,Dinner,"Broccoli, Cooked From Fresh","0.30 cup, chopped",16.38,0,0,41.77,0.03,0.06,0.26,0.29,0.09,0,434.76,50.54,505.43,724.45,30.37,0,0.95,65.99,18.72,0.03,0.31,9.83,0.09,31.36,137.12,0.75,19.19,0.21,3.36,1.54,0,0.65,1.82,0.19,0,0.02,0.08,0.04,0,0.06,0,0.01,0.03,0.04,0.07,0.07,0.02,0.05,1.11,0.04,0.02,0.03,0.06,Vegetables and Vegetable Products
2020/1/2,04:34 PM,Dinner,"Red Bell Peppers, Cooked",0.30 cup,7.18,0,0,23.57,0.02,0.01,0.12,0.02,0.06,0,391.22,4.1,12.06,754.48,43.87,0,0.42,1.31,2.31,0.02,0.12,2.57,0.03,4.62,42.59,0.08,0.51,0.03,1.72,0.31,0.02,1.13,1.41,0.05,0,0,0.03,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.24,0.01,0,0,0.01,Vegetables and Vegetable Products
2020/1/2,04:35 PM,Dinner,"Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched",0.60 cup,62.69,0,0,131.74,0.04,0.27,0.62,0.15,0.05,1.24,2.92,13.12,0,269.73,0,62.69,0.16,4.37,179.33,0.24,0.61,21.87,0.09,62.69,177.87,3.35,68.53,0.38,7.17,0.29,0.31,5.32,6.88,2.14,0,0.56,1.25,0.3,0,0.11,0.84,0,0.05,0.1,0.16,0.11,0.02,0.09,3.79,0.09,0.03,0.07,0.1,Beverages
2020/1/2,09:45 PM,Dinner,"Salmon, Atlantic, Wild, Cooked",4.00 oz,206.38,0,0,67.61,0.31,0.55,11.43,2.18,1.07,3.46,0,32.89,0,49.9,0,394.63,4.5,0.83,17.01,0.36,1.17,41.96,0.02,290.3,712.14,53.07,63.5,0.93,0,0,0,0,0,9.22,80.51,3.06,3.69,1.43,0,3.05,0.64,0.31,0.85,1.33,2.34,2.65,0.85,1.13,28.85,1.26,0.32,0.97,1.49,Finfish and Shellfish Products
2020/1/2,09:45 PM,Dinner,"Broccoli, Cooked From Fresh","0.50 cup, chopped",27.3,0,0,69.61,0.05,0.1,0.43,0.48,0.16,0,724.61,84.24,842.38,1207.42,50.62,0,1.58,109.98,31.2,0.05,0.52,16.38,0.15,52.26,228.54,1.25,31.98,0.35,5.6,2.57,0,1.08,3.03,0.32,0,0.03,0.13,0.06,0,0.09,0,0.02,0.05,0.07,0.11,0.12,0.03,0.09,1.86,0.07,0.03,0.05,0.11,Vegetables and Vegetable Products
2020/1/2,09:46 PM,Dinner,"Lean Cuisine, Marketplace, Butternut Squash Ravioli",0.70 cup,181.12,0,0,131.82,0.22,0.17,1.49,0.4,0.14,0.15,2424.7,87.18,511.08,5338.51,23.78,2.66,0.76,11.05,90.22,0.12,1.52,28.74,0.32,106.67,150.34,18.02,406.44,0.79,30.48,3.21,17.94,6.36,27.27,3.69,13.02,0.87,0.92,1.43,0.07,0.1,0.7,0.1,0.16,0.3,0.55,0.36,0.11,0.32,6.76,0.27,0.08,0.22,0.37,"Meals, Entrees, and Sidedishes"
2020/1/2,09:46 PM,Dinner,Sherbet,1.00 cup,213.12,0,0,97.83,0.04,0.14,0.09,0.33,0.03,0.19,1.48,5.92,10.36,68.08,3.4,0,0.01,0,79.92,0.04,0.21,11.84,0.02,59.2,142.08,2.22,68.08,0.71,44.99,0.28,0,35.99,44.71,2.96,1.48,0.78,0.12,1.72,0.07,0.02,0.02,0.01,0.04,0.09,0.14,0.11,0.04,0.07,1.63,0.07,0.02,0.07,0.1,Dairy and Egg Products
2020/1/4,11:40 AM,Breakfast,"Coffee, Prepared From Grounds",2.00 small or tall - each 12 fl oz,7.1,0,284.16,706.07,0.1,0.54,1.36,1.8,0.01,0,0,14.21,0,0,0,0,0.07,0.71,14.21,0.01,0.07,21.31,0.16,21.31,348.1,0,14.21,0.14,3.34,3.34,0,0,0,0.14,0,0.11,0.01,0.01,0,0,0,0.01,0.01,0.01,0.04,0.01,0,0.02,0.85,0.01,0,0.01,0.02,Beverages
2020/1/4,01:51 PM,Breakfast,"Orgain, Organic Protein & Superfoods, Vanilla Bean",1.50 x 2.0 scoops,240,,,,0.6,0.75,1.5,1.5,0.9,0.15,,28.5,,54.95,24,0,,,123,,12,36,,,145.5,,465,,31.5,7.5,,1.5,24,6.75,0,,,0.75,0,,,,,,,,,,31.5,,,,,Supplements
2020/1/4,01:50 PM,Breakfast,"Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched",2.75 cup,287.34,0,0,603.82,0.19,1.23,2.84,0.69,0.21,5.68,13.36,60.14,0,1236.25,0,287.34,0.74,20.05,821.94,1.1,2.81,100.24,0.41,287.34,815.26,15.37,314.07,1.74,32.88,1.34,1.4,24.39,31.54,9.82,0,2.55,5.73,1.37,0,0.5,3.84,0,0.23,0.44,0.72,0.51,0.11,0.43,17.37,0.41,0.15,0.34,0.45,Beverages
2020/1/4,01:52 PM,Breakfast,"Spinach, Raw","1.50 cup, cut pieces",10.35,0,0,41.13,0.04,0.09,0.33,0.03,0.09,0,2531.79,87.3,5489.31,4219.81,12.65,0,0.88,217.31,44.55,0.06,1.22,35.55,0.4,22.05,251.11,0.45,35.55,0.24,1.63,0.99,0.05,0.19,0.64,0.18,0,0,0.07,0.03,0,0.06,0,0.02,0.03,0.07,0.1,0.08,0.02,0.06,1.29,0.05,0.02,0.05,0.07,Vegetables and Vegetable Products
2020/1/4,01:52 PM,Breakfast,"Strawberries, Fresh","0.80 cup, halves",38.91,0,0,110.59,0.03,0.03,0.47,0.15,0.06,0,8.51,29.18,31.62,14.59,71.5,0,0.34,2.68,19.46,0.06,0.5,15.81,0.47,29.18,186.05,0.49,1.22,0.17,9.34,2.43,0.05,5.95,6.91,0.36,0,0.05,0.19,0.02,0,0.08,0.11,0.01,0.01,0.02,0.04,0.03,0,0.02,0.81,0.02,0.01,0.03,0.02,Fruits and Fruit Juices
2020/1/4,01:52 PM,Breakfast,"Banana, Fresh","1.00 small - 6"" to 6 7/8"" long",89.89,0,0,75.66,0.03,0.07,0.67,0.34,0.37,0,26.26,20.2,22.22,64.64,8.79,0,0.13,0.51,5.05,0.08,0.26,27.27,0.27,22.22,361.58,1.01,1.01,0.15,23.07,2.63,5.43,12.35,20.44,0.33,0,0.03,0.07,0.11,0,0.03,0.05,0.01,0.08,0.03,0.07,0.05,0.01,0.05,1.1,0.03,0.01,0.01,0.05,Fruits and Fruit Juices
2020/1/4,01:52 PM,Breakfast,"Blueberries, Fresh","0.80 cup, whole pieces",67.49,0,0,99.7,0.04,0.05,0.49,0.15,0.06,0,37.89,7.1,94.72,63.94,11.48,0,0.69,22.85,7.1,0.07,0.33,7.1,0.4,14.21,91.17,0.12,1.18,0.19,17.16,2.84,0.04,11.79,14.31,0.39,0,0.06,0.17,0.03,0,0.07,0.1,0.01,0.01,0.03,0.05,0.02,0.01,0.03,0.88,0.02,0,0.01,0.04,Fruits and Fruit Juices
2020/1/4,01:53 PM,Lunch,"Broccoli, Cooked From Fresh","0.60 cup, chopped",32.76,0,0,83.54,0.06,0.12,0.52,0.58,0.19,0,869.53,101.09,1010.86,1448.9,60.75,0,1.89,131.97,37.44,0.06,0.63,19.66,0.18,62.71,274.24,1.5,38.38,0.42,6.72,3.09,0,1.3,3.63,0.38,0,0.04,0.16,0.07,0,0.11,0,0.03,0.06,0.09,0.14,0.15,0.04,0.11,2.23,0.09,0.03,0.06,0.13,Vegetables and Vegetable Products
2020/1/4,01:54 PM,Lunch,"Lettuce, Mixed Greens","1.50 cup, chopped",14.19,0,0,77.63,0.06,0.07,0.32,0.22,0.07,0,2787.86,88.95,3068.89,4647.15,8.35,0,0.49,159.54,39.27,0.05,0.95,21.12,0.3,25.74,239.94,0.38,24.26,0.31,2.66,1.63,0.02,0.76,1.02,0.19,0,0.01,0.09,0.03,0,0.06,0,0.01,0.02,0.06,0.08,0.07,0.02,0.05,1.25,0.05,0.01,0.03,0.06,Vegetables and Vegetable Products
2020/1/4,01:54 PM,Lunch,"Mushrooms, Raw","0.40 cup, whole pieces",8.45,0,0,35.5,0.03,0.15,1.39,0.57,0.04,0.02,0,6.53,0,0,0.81,2.69,0,0,1.15,0.12,0.19,3.46,0.02,33.02,122.11,3.57,1.92,0.2,1.25,0.38,0.23,0.76,0.87,0.13,0,0,0.06,0.02,0,0,0.06,0,0.02,0.03,0.05,0.04,0.01,0.03,1.19,0.04,0.01,0.02,0.09,Vegetables and Vegetable Products
2020/1/4,01:55 PM,Lunch,"Red Bell Peppers, Cooked",0.30 cup,7.18,0,0,23.57,0.02,0.01,0.12,0.02,0.06,0,391.22,4.1,12.06,754.48,43.87,0,0.42,1.31,2.31,0.02,0.12,2.57,0.03,4.62,42.59,0.08,0.51,0.03,1.72,0.31,0.02,1.13,1.41,0.05,0,0,0.03,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.24,0.01,0,0,0.01,Vegetables and Vegetable Products
2020/1/4,01:55 PM,Lunch,"Mozzarella Cheese, Whole Milk","0.30 cup, diced",125.93,0,0,19.16,0.01,0.11,0.04,0.03,0.02,0.29,24.95,3.17,0,295.02,0,7.13,0.08,0.99,227.7,0.01,0.08,8.32,0,163.15,29.7,6.38,281.16,0.97,0.98,0,0,0.4,0.98,9.76,35.24,2.78,0.31,6.16,0.23,0.08,0.1,0.05,0.32,0.41,0.83,0.87,0.24,0.45,8.55,0.33,0.12,0.49,0.54,Dairy and Egg Products
2020/1/4,01:55 PM,Lunch,"Tomato Raw, Includes Cherry, Grape, Roma","3.00 tbsp, chopped",6.08,0,0,31.9,0.01,0.01,0.2,0.03,0.03,0,151.54,5.06,41.51,281.15,4.62,0,0.18,2.67,3.38,0.02,0.09,3.71,0.04,8.1,79.99,0,1.69,0.06,1.31,0.41,0,0.89,0.91,0.07,0,0.01,0.03,0.01,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.3,0.01,0,0,0.01,Vegetables and Vegetable Products
2020/1/4,01:56 PM,Lunch,Buffalo Dipping Sauce,2.00 tbsp,36.32,0,0,17.57,0,0.01,0.09,0.01,0.02,0,100.73,0.6,7.1,198.07,0.4,0,1.45,1.62,3.1,0.01,0.12,1.29,0.02,2.56,14.96,0.17,389.88,0.03,1.08,0.25,0.75,0.07,0.83,3.49,0,0.62,1.81,0.89,0,0.01,1.8,0,0,0,0,0,0,0,0.1,0,0,0,0,"Soups, Sauces, and Gravies"
2020/1/4,01:58 PM,Lunch,"Ghirardelli, Chocolate Chips, 60% Cacao",0.75 oz,113.4,,,,,,,,,,,,,0,0,,,,0,,1.53,,,,,,0,,11.34,1.42,,8.5,9.92,8.5,0,,,4.96,0,,,,,,,,,,1.42,,,,,Sweets
2020/1/4,03:43 PM,Snack,"Blueberries, Fresh","0.40 cup, whole pieces",33.74,0,0,49.85,0.02,0.02,0.25,0.07,0.03,0,18.94,3.55,47.36,31.97,5.74,0,0.34,11.43,3.55,0.03,0.17,3.55,0.2,7.1,45.58,0.06,0.59,0.09,8.58,1.42,0.02,5.9,7.16,0.2,0,0.03,0.09,0.02,0,0.03,0.05,0,0.01,0.01,0.03,0.01,0.01,0.02,0.44,0.01,0,0.01,0.02,Fruits and Fruit Juices
2020/1/4,03:43 PM,Snack,"Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched",1.25 cup,130.61,0,0,274.47,0.09,0.56,1.29,0.32,0.09,2.58,6.07,27.34,0,561.93,0,130.61,0.33,9.11,373.61,0.5,1.28,45.56,0.19,130.61,370.57,6.99,142.76,0.79,14.94,0.61,0.64,11.09,14.34,4.47,0,1.16,2.61,0.62,0,0.23,1.75,0,0.11,0.2,0.33,0.23,0.05,0.2,7.9,0.19,0.07,0.15,0.2,Beverages
2020/1/4,03:44 PM,Snack,Butterscotch Chips,"2.00 tbsp, whole pieces",114.54,0,0,0.16,0,0.02,0.01,0.03,0,0.02,0,0.21,0,0.21,0.02,0,0.14,1.38,7.23,0,0.02,1.06,0,6.59,13.6,0.28,18.91,0.02,14.26,0,0,14.26,14.26,6.17,0,0.48,0.22,5.12,0,0.01,0.09,0,0.01,0.03,0.04,0.04,0.01,0.02,0.47,0.02,0.01,0.02,0.03,Sweets
2020/1/4,03:44 PM,Snack,"Pizza, Homemade or Restaurant, Cheese, Thin Crust",140.00 g,390.13,0,0,104.3,0.51,0.49,3.61,0.7,0.14,0.9,119.4,139.16,22.88,608.95,2.84,8.4,1.18,11.31,405.63,0.14,2.8,33.32,0.42,371.92,285.04,33.32,1094.86,2.52,43.06,2.5,34.4,3.35,40.56,15.79,35.63,3.89,3.07,7.04,0.42,0.34,2.55,0.18,0.44,0.87,1.48,0.77,0.4,0.89,18.94,0.74,0.36,0.8,1.02,"Meals, Entrees, and Sidedishes"
2020/1/5,03:04 PM,Breakfast,"Coffee, Prepared From Grounds",1.50 small or tall - each 12 fl oz,5.33,0,213.12,529.55,0.07,0.4,1.02,1.35,0.01,0,0,10.66,0,0,0,0,0.05,0.53,10.66,0.01,0.05,15.98,0.12,15.98,261.07,0,10.66,0.11,2.5,2.5,0,0,0,0.11,0,0.08,0.01,0.01,0,0,0,0.01,0.01,0.01,0.03,0.01,0,0.02,0.64,0.01,0,0.01,0.02,Beverages
2020/1/5,03:05 PM,Breakfast,"Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched",0.50 cup,52.24,0,0,109.79,0.04,0.22,0.52,0.13,0.04,1.03,2.43,10.93,0,224.77,0,52.24,0.13,3.64,149.44,0.2,0.51,18.22,0.08,52.24,148.23,2.79,57.1,0.32,5.98,0.24,0.26,4.43,5.73,1.79,0,0.46,1.04,0.25,0,0.09,0.7,0,0.04,0.08,0.13,0.09,0.02,0.08,3.16,0.08,0.03,0.06,0.08,Beverages
2020/1/5,03:05 PM,Breakfast,Half and Half,2.00 Tbsp,39.3,0,0,24.17,0.01,0.06,0.03,0.16,0.02,0.06,6.6,0.9,0,106.2,0.27,0.6,0.08,0.39,32.1,0,0.02,3,0,28.5,39.6,0.96,18.3,0.12,1.29,0,0,1.24,1.29,3.45,10.5,1,0.17,2.11,0.14,0.01,0.09,0,0.02,0.05,0.08,0.04,0.02,0.04,0.94,0.04,0.02,0.04,0.06,Dairy and Egg Products
2020/1/5,03:05 PM,Breakfast,"Orgain, Organic Protein & Superfoods, Vanilla Bean",0.50 x 2.0 scoops,80,,,,0.2,0.25,0.5,0.5,0.3,0.05,,9.5,,18.32,8,0,,,41,,4,12,,,48.5,,155,,10.5,2.5,,0.5,8,2.25,0,,,0.25,0,,,,,,,,,,10.5,,,,,Supplements
2020/1/5,03:06 PM,Lunch,"Subway, sandwich, Veggie Delight, Fresh Fit, with nine grain wheat, 6""",2.00 Each,400,0,,,,,,,,,,,,2000,30,,,,80,,5.4,,,,,,560,,78,10,,10,68,4,0,,,0,0,,,,,,,,,,18,,,,,Vegetables and Vegetable Products
2020/1/5,03:06 PM,Lunch,"Chocolate Chip Cookies, Bakery","2.00 each - approx 2 1/4"" diameter",155.84,0.04,5.62,3.07,0.07,0.06,0.49,0.09,0.01,0.03,0.29,17.7,12.4,13.87,0,5.52,0.1,2.89,9.1,0.08,0.7,12.76,0.13,24.84,50.61,3.82,102.17,0.23,19.88,0.76,5.76,13.27,19.12,8.54,9.95,4.21,0.84,3.07,1.63,0.01,0.51,0.03,0.03,0.06,0.11,0.06,0.03,0.08,1.5,0.05,0.02,0.05,0.07,Baked Products
2020/1/5,03:48 PM,Lunch,"Starbucks, Caffe Latte, Soy",1.25 x 473.0 mL (Grande),187.5,,187.5,,,,,,,,,,,937.5,0,,,,500,,3.37,,,,,,162.5,,16.25,1.25,,10,15,6.25,0,,,0.63,0,,,,,,,,,,12.5,,,,,Beverages
2020/1/5,03:49 PM,Lunch,"Blueberries, Fresh","0.60 cup, whole pieces",50.62,0,0,74.78,0.03,0.04,0.37,0.11,0.05,0,28.42,5.33,71.04,47.95,8.61,0,0.52,17.14,5.33,0.05,0.25,5.33,0.3,10.66,68.38,0.09,0.89,0.14,12.87,2.13,0.03,8.84,10.74,0.29,0,0.04,0.13,0.02,0,0.05,0.08,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.66,0.02,0,0.01,0.03,Fruits and Fruit Juices
2020/1/5,03:50 PM,Lunch,"Banana, Fresh","1.00 small - 6"" to 6 7/8"" long",89.89,0,0,75.66,0.03,0.07,0.67,0.34,0.37,0,26.26,20.2,22.22,64.64,8.79,0,0.13,0.51,5.05,0.08,0.26,27.27,0.27,22.22,361.58,1.01,1.01,0.15,23.07,2.63,5.43,12.35,20.44,0.33,0,0.03,0.07,0.11,0,0.03,0.05,0.01,0.08,0.03,0.07,0.05,0.01,0.05,1.1,0.03,0.01,0.01,0.05,Fruits and Fruit Juices
2020/1/5,05:11 PM,Dinner,"Uncle Bens, Ready Rice, Whole Grain Brown",2.00 cup,380,,,,0.18,,10,,,,,32,,0,0,,,,0,,2.16,,,,200,,30,,78,6,,0,72,6,0,,,0,0,,,,,,,,,,10,,,,,Cereal Grains and Pasta
2020/1/5,05:11 PM,Dinner,"Taylor Farms, Chopped Kit, Sweet Kale",2.00 cup,400,,,,,,,,,,,,,,,0,,,96,,2,,,,594,,340,,28,6,,18,22,28,0,,,4,0,,,,,,,,,,10,,,,,Vegetables and Vegetable Products
2020/1/5,05:25 PM,Dinner,"Chili with Beans and Meat, Homemade",1.20 cup,289.92,0,0,272.72,0.74,0.23,4.72,0.94,0.6,1.44,682.21,48.24,160.6,1221.3,29.24,0.98,2.2,16.22,122.17,0.41,4.14,61.07,0.57,254.06,873.29,14.16,790.94,4.16,28.15,8.22,9.82,9.61,19.93,10.91,45.78,3.44,0.74,3.81,0.49,0.06,0.41,0.23,0.64,0.94,1.64,1.62,0.45,0.95,21.84,0.83,0.16,0.61,1.07,"Meals, Entrees, and Sidedishes"
2020/1/5,06:22 PM,Dinner,Rich & Velvety Squares Chocolate,3.00 square,150.15,,,,,,,,,,,,,0,0,,,,0,,2.16,,,,,,0,,18,3,,12,15,12,0,,,7.5,0,,,,,,,,,,3,,,,,
2020/1/5,06:22 PM,Dinner,"Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched",1.25 cup,130.61,0,0,274.47,0.09,0.56,1.29,0.32,0.09,2.58,6.07,27.34,0,561.93,0,130.61,0.33,9.11,373.61,0.5,1.28,45.56,0.19,130.61,370.57,6.99,142.76,0.79,14.94,0.61,0.64,11.09,14.34,4.47,0,1.16,2.61,0.62,0,0.23,1.75,0,0.11,0.2,0.33,0.23,0.05,0.2,7.9,0.19,0.07,0.15,0.2,Beverages
2020/1/6,08:57 AM,Breakfast,"Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched",3.50 cup,365.71,0,0,768.5,0.25,1.56,3.61,0.88,0.26,7.23,17.01,76.54,0,1573.41,0,365.71,0.94,25.51,1046.1,1.4,3.57,127.57,0.53,365.71,1037.6,19.56,399.73,2.21,41.84,1.7,1.79,31.04,40.14,12.5,0,3.25,7.3,1.74,0,0.64,4.89,0,0.3,0.56,0.91,0.65,0.14,0.55,22.11,0.53,0.19,0.43,0.57,Beverages
2020/1/6,08:57 AM,Breakfast,"Banana, Fresh","1.00 small - 6"" to 6 7/8"" long",89.89,0,0,75.66,0.03,0.07,0.67,0.34,0.37,0,26.26,20.2,22.22,64.64,8.79,0,0.13,0.51,5.05,0.08,0.26,27.27,0.27,22.22,361.58,1.01,1.01,0.15,23.07,2.63,5.43,12.35,20.44,0.33,0,0.03,0.07,0.11,0,0.03,0.05,0.01,0.08,0.03,0.07,0.05,0.01,0.05,1.1,0.03,0.01,0.01,0.05,Fruits and Fruit Juices
